NULL,Archivo General de Indias,Correos,"CORREOS,275B,R.9",Diario de navegación,Diario de navegación del paquebot ''El Colón'',1778-11-02,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,275A,R.13",Diario de navegación,Diario de navegación del paquebot ''El Colón'',1772-07-01,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,275B,R.10",Diario de navegación,Diario de navegación del paquebot ''El Colón'',1792-10-08,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,275B,R.7",Diario de navegación,Diario de navegación del paquebot ''El Colón'',1776-12-04,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,275B,R.5",Diario de navegación,Diario de navegación del paquebot ''El Colón'',1775-11-04,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,275A,R.7",Diario de navegación,Diario de navegación del paquebot ''El Colón'',1769-03-04,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,275A,R.5",Diario de navegación,Diario de navegación del paquebot ''El Colón'',1767-12-01,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,275A,R.3",Diario de navegación,Diario de navegación del paquebot ''El Colón'',1766-10-10,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,275B,R.3",Diario de navegación,Diario de navegación del paquebot ''El Colón'',1774-04-05,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,275B,R.6",Diario de navegación,Diario de navegación del paquebot ''El Colón'',1776-05-02,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,279B,R.20",Diario de navegación,Diario de navegación del paquebot ''El Colón'',1765-01-24,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,275B,R.4",Diario de navegación,Diario de navegación del paquebot ''El Colón'',1774-11-30,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,275A,R.8",Diario de navegación,Diario de navegación del paquebot ''El Colón'',1769-09-01,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,275A,R.10",Diario de navegación,Diario de navegación del paquebot ''El Colón'',1770-09-28,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,195B,R.11",Diario de navegación,Diario de navegación del paquebot ''El Colón'',1789-04-16,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,275A,R.9",Diario de navegación,Diario de navegación del paquebot ''El Colón'',1770-03-03,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,270A,R.5",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1768-02-01,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,270A,R.1",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1764-11-01,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,270B,R.8",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1787-04-02,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,270B,R.11",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1790-04-03,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,270B,R.7",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1786-09-02,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,194B,R.6",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1797-06-17,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,270A,R.2",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1765-09-01,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,270B,R.6",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1786-03-10,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,270B,R.12",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1793-03-05,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,270B,R.2",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1772-12-03,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,270B,R.3",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1777-12-03,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,270A,R.11",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1771-08-02,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,270A,R.9",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1770-05-02,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,270A,R.4",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1767-07-01,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,270A,R.6",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1768-08-02,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,270B,R.9",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1787-11-07,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,270B,R.1",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1772-04-03,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,270A,R.3",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1766-12-08,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,270A,R.1",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1764-11-01,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,270B,R.8",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1787-04-02,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,270B,R.11",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1790-04-03,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,270B,R.7",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1786-09-02,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,194B,R.6",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1797-06-17,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,270A,R.2",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1765-09-01,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,270B,R.6",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1786-03-10,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,270B,R.12",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1793-03-05,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,279B,R.9",Diario de navegación,Diario de navegación del paquebot ''El Cuervo'',1797-03-16,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,279B,R.1",Diario de navegación,Diario de navegación del paquebot ''El Despacho'',1769-03-16,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,272B,R.1",Diario de navegación,Diario de navegación del paquebot ''El Gallego'',1765-02-03,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,272B,R.7",Diario de navegación,Diario de navegación del paquebot ''El Gallego'',1779-03-09,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,272B,R.9",Diario de navegación,Diario de navegación del paquebot ''El Gallego'',1795-05-08,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,272B,R.8",Diario de navegación,Diario de navegación del paquebot ''El Gallego'',1794-07-08,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,272B,R.6",Diario de navegación,Diario de navegación del paquebot ''El Gallego'',1778-07-04,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,272B,R.3",Diario de navegación,Diario de navegación del paquebot ''El Gallego'',1768-01-03,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,272B,R.2",Diario de navegación,Diario de navegación del paquebot ''El Gallego'',1765-11-02,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,272B,R.7",Diario de navegación,Diario de navegación del paquebot ''El Gallego'',1779-03-09,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,272B,R.9",Diario de navegación,Diario de navegación del paquebot ''El Gallego'',1795-05-08,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,272B,R.8",Diario de navegación,Diario de navegación del paquebot ''El Gallego'',1794-07-08,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,272B,R.6",Diario de navegación,Diario de navegación del paquebot ''El Gallego'',1778-07-04,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,272B,R.3",Diario de navegación,Diario de navegación del paquebot ''El Gallego'',1768-01-03,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,272A,R.7",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1774-09-02,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,272A,R.1",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1765-08-02,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,279B,R.27",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1770-02-27,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,192B,R.10",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1772-08-15,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,192B,R.12",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1779-06-17,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,192B,R.11",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1777-04-20,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,192B,R.9",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1771-08-15,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,192B,R.8",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1770-06-15,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,279B,R.16",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1795-08-12,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,272A,R.9",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1775-12-02,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,272A,R.13",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1787-05-07,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,272A,R.12",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1786-11-04,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,272A,R.10",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1776-08-03,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,272A,R.8",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1775-05-02,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,272A,R.4",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1767-06-02,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,272A,R.11",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1784-02-05,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,272A,R.5",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1773-06-01,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,279B,R.11",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1795-02-06,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,279B,R.13",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1795-06-10,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,272A,R.8",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1775-05-02,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,272A,R.4",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1767-06-02,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,272A,R.11",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1784-02-05,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,272A,R.5",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1773-06-01,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,279B,R.11",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1795-02-06,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,279B,R.13",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1795-06-10,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,273B,R.11",Diario de navegación,Diario de navegación del paquebot ''El Infante'',1792-02-05,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,273B,R.12",Diario de navegación,Diario de navegación del paquebot ''El Infante'',1794-08-12,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,273B,R.13",Diario de navegación,Diario de navegación del paquebot ''El Infante'',1796-07-08,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,279B,R.4",Diario de navegación,Diario de navegación del paquebot ''El Kaulicán'',1783-10-30,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,279B,R.6",Diario de navegación,Diario de navegación del paquebot ''El Kaulicán'',1786-02-11,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,279B,R.5",Diario de navegación,Diario de navegación del paquebot ''El Kaulicán'',1784-06-02,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,192B,R.1",Diario de navegación,Diario de navegación del paquebot ''El Lanzarote'',1781-06-28,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,275B,R.12",Diario de navegación,Diario de navegación del paquebot ''El Lanzarote'',1786-01-18,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,279B,R.14",Diario de navegación,Diario de navegación del paquebot ''El Lanzarote'',1795-06-02,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,279B,R.15",Diario de navegación,Diario de navegación del paquebot ''El Lanzarote'',1795-07-03,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,275B,R.13",Diario de navegación,Diario de navegación del paquebot ''El Lanzarote'',1787-03-12,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,275B,R.14",Diario de navegación,Diario de navegación del paquebot ''El Lanzarote'',1797-02-09,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,275B,R.11",Diario de navegación,Diario de navegación del paquebot ''El Lanzarote'',1786-08-01,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,276A,R.13",Diario de navegación,Diario de navegación del paquebot ''El Magallanes'',1794-02-09,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,276A,R.4",Diario de navegación,Diario de navegación del paquebot ''El Magallanes'',1767-02-04,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,276B,R.4",Diario de navegación,Diario de navegación del paquebot ''El Magallanes'',1772-06-02,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,276B,R.15",Diario de navegación,Diario de navegación del paquebot ''El Magallanes'',1778-09-02,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,276B,R.12",Diario de navegación,Diario de navegación del paquebot ''El Magallanes'',1776-11-04,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,276A,R.5",Diario de navegación,Diario de navegación del paquebot ''El Magallanes'',1767-09-01,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,276B,R.14",Diario de navegación,Diario de navegación del paquebot ''El Magallanes'',1777-07-01,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,276A,R.7",Diario de navegación,Diario de navegación del paquebot ''El Magallanes'',1769-07-01,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,276A,R.2",Diario de navegación,Diario de navegación del paquebot ''El Magallanes'',1765-09-30,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,276A,R.11",Diario de navegación,Diario de navegación del paquebot ''El Magallanes'',1773-01-02,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,276A,R.6",Diario de navegación,Diario de navegación del paquebot ''El Magallanes'',1769-02-01,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,276A,R.1",Diario de navegación,Diario de navegación del paquebot ''El Magallanes'',1765-01-01,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,276B,R.11",Diario de navegación,Diario de navegación del paquebot ''El Magallanes'',1776-01-03,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,276B,R.9",Diario de navegación,Diario de navegación del paquebot ''El Magallanes'',1775-03-08,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,276B,R.7",Diario de navegación,Diario de navegación del paquebot ''El Magallanes'',1774-07-01,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,276A,R.14",Diario de navegación,Diario de navegación del paquebot ''El Magallanes'',1796-04-06,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,276A,R.12",Diario de navegación,Diario de navegación del paquebot ''El Magallanes'',1793-02-08,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,276A,R.4",Diario de navegación,Diario de navegación del paquebot ''El Magallanes'',1767-02-04,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,276B,R.4",Diario de navegación,Diario de navegación del paquebot ''El Magallanes'',1772-06-02,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,276B,R.15",Diario de navegación,Diario de navegación del paquebot ''El Magallanes'',1778-09-02,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,276B,R.12",Diario de navegación,Diario de navegación del paquebot ''El Magallanes'',1776-11-04,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,276A,R.5",Diario de navegación,Diario de navegación del paquebot ''El Magallanes'',1767-09-01,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,194A,R.8",Diario de navegación,Diario de navegación del paquebot ''El Patagón'',1796-02-27,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,194A,R.1",Diario de navegación,Diario de navegación del paquebot ''El Patagón'',1768-02-17,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,274B,R.2",Diario de navegación,Diario de navegación del paquebot ''El Patagón'',1772-11-01,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,274B,R.1",Diario de navegación,Diario de navegación del paquebot ''El Patagón'',1770-02-03,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,274B,R.7",Diario de navegación,Diario de navegación del paquebot ''El Patagón'',1783-05-10,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,194A,R.7",Diario de navegación,Diario de navegación del paquebot ''El Patagón'',1786-04-17,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,194A,R.4",Diario de navegación,Diario de navegación del paquebot ''El Patagón'',1773-06-15,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,274B,R.5",Diario de navegación,Diario de navegación del paquebot ''El Patagón'',1777-10-04,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,194A,R.5",Diario de navegación,Diario de navegación del paquebot ''El Patagón'',1774-06-17,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,274B,R.8",Diario de navegación,Diario de navegación del paquebot ''El Patagón'',1788-03-07,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,194A,R.2",Diario de navegación,Diario de navegación del paquebot ''El Patagón'',1770-09-19,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,274B,R.3",Diario de navegación,Diario de navegación del paquebot ''El Patagón'',1776-07-02,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,194A,R.1",Diario de navegación,Diario de navegación del paquebot ''El Patagón'',1768-02-17,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,274B,R.2",Diario de navegación,Diario de navegación del paquebot ''El Patagón'',1772-11-01,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,274B,R.1",Diario de navegación,Diario de navegación del paquebot ''El Patagón'',1770-02-03,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,274B,R.7",Diario de navegación,Diario de navegación del paquebot ''El Patagón'',1783-05-10,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,194A,R.7",Diario de navegación,Diario de navegación del paquebot ''El Patagón'',1786-04-17,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,194A,R.4",Diario de navegación,Diario de navegación del paquebot ''El Patagón'',1773-06-15,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,274B,R.5",Diario de navegación,Diario de navegación del paquebot ''El Patagón'',1777-10-04,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,194A,R.5",Diario de navegación,Diario de navegación del paquebot ''El Patagón'',1774-06-17,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,279B,R.8",Diario de navegación,Diario de navegación del paquebot ''El Pinzón'',1789-10-21,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,193A,R.1",Diario de navegación,Diario de navegación del paquebot ''El Pinzón'',1789-01-01,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,279B,R.17",Diario de navegación,Diario de navegación del paquebot ''El Pinzón'',1795-08-26,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,269B,R.1",Diario de navegación,Diario de navegación del paquebot ''El Pizarro'',1771-02-02,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,269B,R.9",Diario de navegación,Diario de navegación del paquebot ''El Pizarro'',1775-10-07,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,269A,R.4",Diario de navegación,Diario de navegación del paquebot ''El Pizarro'',1767-08-01,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,269B,R.13",Diario de navegación,Diario de navegación del paquebot ''El Pizarro'',1784-03-10,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,269B,R.5",Diario de navegación,Diario de navegación del paquebot ''El Pizarro'',1773-05-01,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,269A,R.7",Diario de navegación,Diario de navegación del paquebot ''El Pizarro'',1769-05-02,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,269B,R.7",Diario de navegación,Diario de navegación del paquebot ''El Pizarro'',1774-08-02,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,269A,R.8",Diario de navegación,Diario de navegación del paquebot ''El Pizarro'',1769-10-20,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,269A,R.6",Diario de navegación,Diario de navegación del paquebot ''El Pizarro'',1768-09-02,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,269A,R.9",Diario de navegación,Diario de navegación del paquebot ''El Pizarro'',1770-06-01,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,269B,R.4",Diario de navegación,Diario de navegación del paquebot ''El Pizarro'',1772-09-01,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,269B,R.15",Diario de navegación,Diario de navegación del paquebot ''El Pizarro'',1787-10-07,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,269A,R.5",Diario de navegación,Diario de navegación del paquebot ''El Pizarro'',1768-03-01,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,269A,R.2",Diario de navegación,Diario de navegación del paquebot ''El Pizarro'',1765-05-21,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,269A,R.1",Diario de navegación,Diario de navegación del paquebot ''El Pizarro'',1764-12-01,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,269B,R.10",Diario de navegación,Diario de navegación del paquebot ''El Pizarro'',1776-06-01,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,269B,R.9",Diario de navegación,Diario de navegación del paquebot ''El Pizarro'',1775-10-07,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,269A,R.4",Diario de navegación,Diario de navegación del paquebot ''El Pizarro'',1767-08-01,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,269B,R.13",Diario de navegación,Diario de navegación del paquebot ''El Pizarro'',1784-03-10,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,269B,R.5",Diario de navegación,Diario de navegación del paquebot ''El Pizarro'',1773-05-01,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,269A,R.7",Diario de navegación,Diario de navegación del paquebot ''El Pizarro'',1769-05-02,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,269B,R.7",Diario de navegación,Diario de navegación del paquebot ''El Pizarro'',1774-08-02,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,269A,R.8",Diario de navegación,Diario de navegación del paquebot ''El Pizarro'',1769-10-20,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,269A,R.6",Diario de navegación,Diario de navegación del paquebot ''El Pizarro'',1768-09-02,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,269A,R.9",Diario de navegación,Diario de navegación del paquebot ''El Pizarro'',1770-06-01,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,269B,R.4",Diario de navegación,Diario de navegación del paquebot ''El Pizarro'',1772-09-01,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,191A,R.4",Diario de navegación,Diario de navegación del paquebot ''El Príncipe'',1767-09-26,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,191A,R.5",Diario de navegación,Diario de navegación del paquebot ''El Príncipe'',1769-12-18,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,191A,R.7",Diario de navegación,Diario de navegación del paquebot ''El Príncipe'',1771-12-21,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,274A,R.16",Diario de navegación,Diario de navegación del paquebot ''El Príncipe'',1791-10-06,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,274A,R.12",Diario de navegación,Diario de navegación del paquebot ''El Príncipe'',1783-09-02,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,191B,R.2",Diario de navegación,Diario de navegación del paquebot ''El Príncipe'',1780-11-26,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,274A,R.5",Diario de navegación,Diario de navegación del paquebot ''El Príncipe'',1769-05-13,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,279B,R.19",Diario de navegación,Diario de navegación del paquebot ''El Príncipe'',1765-01-24,NULL
